Designator,Component,Footprint,DigiKey Part #,LCSC Part #
3.3V,REG1117,SOT223,REG1117-3.3-ND,
IC1,S-816A40AMC-BAPT2U,SOT95P275X130-5N,1662-3257-1-ND,
Q2,2SA1213-Y(TE12L F),PW-MINI_TOS,353-2SA1213-Y-TPCT-ND,
C1,0.1uf,0805 SMD Ceramic,311-1140-1-ND,
"C2, C3 and C4 are optional",10uF,EIA3216,399-8269-1-ND,
C5,4.7uf,CAPMP3.4X1.6_1.8N_KEM,399-10128-1-ND,
R2,10K,0805 SMD,311-10KARCT-ND,
R3,33R-500R,0805 SMD,311-499CRCT-ND,
S1,TACTILE-SWITCH,3x6x2.5mm SMD,CKN12322-1-ND or keep part from Arduino,
ARDUINO,Arduino Pro Mini 5 or 3V,,,
LED,LED GRN/RED,,1516-QBL8RAG60D1-ND (not very bright),
,D-SUB FEMALE 15POS,,AE10931-ND,
,CONN HEADER VERT,2.54MM,732-5334-ND,
